class,precision,recall,mAP50,mAP50-95
craze,0.7767381515347281,0.7027027027027027,0.7485374505271063,0.392752544283876
corrosion,0.7281073197403374,0.6913442265084415,0.7413401356975133,0.4104605226139415
surface_injure,0.7973143834106936,0.697132433882143,0.7706581351260973,0.4612103856942215
thunderstrike,0.7288833234944005,0.875,0.870316265060241,0.6295231927710844
crack,0.9128090612386339,0.8333333333333334,0.9414490288126105,0.5158062473317097
hide_craze,0.7916529170834573,0.7435897435897436,0.82668779851721,0.45685255881827613
all,0.7892508594170419,0.7571837400027274,0.8164981356234632,0.4777675752521849
